,model_name,use_mcp,add_pseudocode,n_disks,ith_try,has_structured_response,valid_solution,total_moves,run_start,run_end
0,gpt-4.1-mini,True,False,6,2,True,True,63,2025-06-20 23:23:59.885405,2025-06-20 23:24:37.984169
0,gpt-4.1-mini,True,False,6,3,True,True,63,2025-06-20 23:24:37.989210,2025-06-20 23:25:16.059438
0,gpt-4.1-mini,True,False,6,4,True,True,63,2025-06-20 23:25:16.065322,2025-06-20 23:25:59.783505
0,gpt-4.1-mini,True,False,6,5,True,True,63,2025-06-20 23:25:59.795198,2025-06-20 23:26:33.244947
0,gpt-4.1-mini,True,False,6,6,True,True,63,2025-06-20 23:26:33.250188,2025-06-20 23:27:02.594630
0,gpt-4.1-mini,True,False,6,7,True,True,63,2025-06-20 23:27:02.600374,2025-06-20 23:27:30.153941
0,gpt-4.1-mini,True,False,6,8,True,True,63,2025-06-20 23:27:30.160044,2025-06-20 23:27:58.615674
0,gpt-4.1-mini,True,False,6,9,True,True,63,2025-06-20 23:27:58.622886,2025-06-20 23:28:32.483572
0,gpt-4.1-mini,True,False,6,10,True,True,63,2025-06-20 23:28:32.489209,2025-06-20 23:29:13.301290
0,gpt-4.1-mini,True,False,6,11,True,True,63,2025-06-20 23:29:13.307060,2025-06-20 23:29:44.410645
0,gpt-4.1-mini,True,False,6,12,True,True,63,2025-06-20 23:29:44.416815,2025-06-20 23:30:12.351744
0,gpt-4.1-mini,True,False,6,13,True,True,63,2025-06-20 23:30:12.356676,2025-06-20 23:30:46.416950
0,gpt-4.1-mini,True,False,6,14,True,True,63,2025-06-20 23:30:46.422014,2025-06-20 23:31:16.189836
